Player,Salary,Year,Tm
Kenyon Martin,14431816,2009,DEN
Carmelo Anthony,14410581,2009,DEN
Chauncey Billups,11050000,2009,DEN
Nene,9680000,2009,DEN
J.R. Smith,4985001,2009,DEN
Steven Hunter,3862600,2009,DEN
Antonio McDyess,3000000,2009,DEN
Johan Petro,1939893,2009,DEN
Linas Kleiza,1824493,2009,DEN
Renaldo Balkman,1369920,2009,DEN
Anthony Carter,1147533,2009,DEN
Chris Andersen,998398,2009,DEN
Dahntay Jones,926678,2009,DEN
Sonny Weems,442114,2009,DEN
Juwan Howard,51976,2009,DEN
Carmelo Anthony,15779912,2010,DEN
Kenyon Martin,15363636,2010,DEN
Chauncey Billups,12100000,2010,DEN
Nene,10520000,2010,DEN
J.R. Smith,5508426,2010,DEN
Chris Andersen,3650000,2010,DEN
Antonio McDyess,3000000,2010,DEN
Renaldo Balkman,2112417,2010,DEN
Ty Lawson,1438690,2010,DEN
Anthony Carter,1306455,2010,DEN
Malik Allen,1300000,2010,DEN
Arron Afflalo,1086240,2010,DEN
Joey Graham,884881,2010,DEN
Johan Petro,884881,2010,DEN
Kenyon Martin,16545454,2011,DEN
Nene,11360000,2011,DEN
Raymond Felton,7500000,2011,DEN
J.R. Smith,6757851,2011,DEN
Al Harrington,5765000,2011,DEN
Chris Andersen,4533300,2011,DEN
Timofey Mozgov,3567096,2011,DEN
Danilo Gallinari,3304560,2011,DEN
Wilson Chandler,2130482,2011,DEN
Arron Afflalo,1959577,2011,DEN
Ty Lawson,1546560,2011,DEN
Kosta Koufos,1352640,2011,DEN
Melvin Ely,1223166,2011,DEN
Gary Forbes,473604,2011,DEN
Nene,13000000,2012,DEN
Andre Miller,7807728,2012,DEN
Arron Afflalo,7562500,2012,DEN
Al Harrington,6226200,2012,DEN
Chris Andersen,4234000,2012,DEN
Danilo Gallinari,4190182,2012,DEN
Timofey Mozgov,3343896,2012,DEN
Corey Brewer,3059000,2012,DEN
Kosta Koufos,2203792,2012,DEN
Rudy Fernandez,2180443,2012,DEN
Ty Lawson,1654440,2012,DEN
Kenneth Faried,1254720,2012,DEN
Jordan Hamilton,1073286,2012,DEN
Julyan Stone,473604,2012,DEN
DeMarre Carroll,289382,2012,DEN
Andre Iguodala,14968250,2013,DEN
JaVale McGee,10000000,2013,DEN
Danilo Gallinari,9439000,2013,DEN
Wilson Chandler,5930414,2013,DEN
Andre Miller,5000000,2013,DEN
Chris Andersen,4526000,2013,DEN
Corey Brewer,3243000,2013,DEN
Timofey Mozgov,3140429,2013,DEN
Kosta Koufos,3000000,2013,DEN
Ty Lawson,2544529,2013,DEN
Anthony Randolph,1674641,2013,DEN
Evan Fournier,1361400,2013,DEN
Kenneth Faried,1348800,2013,DEN
Jordan Hamilton,1153800,2013,DEN
Julyan Stone,762195,2013,DEN
Quincy Miller,473604,2013,DEN
Ty Lawson,10786517,2014,DEN
JaVale McGee,10750000,2014,DEN
Danilo Gallinari,10146925,2014,DEN
Wilson Chandler,6344164,2014,DEN
J.J. Hickson,5150000,2014,DEN
Andre Miller,5000000,2014,DEN
Timofey Mozgov,4400000,2014,DEN
Darrell Arthur,3231683,2014,DEN
Randy Foye,3000000,2014,DEN
Nate Robinson,2016000,2014,DEN
Anthony Randolph,1750000,2014,DEN
Evan Fournier,1422720,2014,DEN
Kenneth Faried,1367640,2014,DEN
Jordan Hamilton,1169880,2014,DEN
Quincy Miller,788872,2014,DEN
Ty Lawson,11595506,2015,DEN
Danilo Gallinari,10854850,2015,DEN
Wilson Chandler,6757913,2015,DEN
J.J. Hickson,5381750,2015,DEN
Darrell Arthur,3457149,2015,DEN
Randy Foye,3135000,2015,DEN
Jameer Nelson,2732000,2015,DEN
Kenneth Faried,2249768,2015,DEN
Joffrey Lauvergne,1790280,2015,DEN
Jusuf Nurkic,1762680,2015,DEN
Gary Harris,1519200,2015,DEN
Victor Claver,1370000,2015,DEN
Shavlik Randolph,1227985,2015,DEN
Will Barton,915243,2015,DEN
Ian Clark,816482,2015,DEN
Erick Green,507336,2015,DEN
Quincy Miller,150000,2015,DEN
Jerrelle Benimon,35000,2015,DEN
Jamaal Franklin,19914,2015,DEN
Danilo Gallinari,14000000,2016,DEN
Kenneth Faried,11235955,2016,DEN
Wilson Chandler,10500000,2016,DEN
J.J. Hickson,5613500,2016,DEN
Jameer Nelson,4500000,2016,DEN
Steve Novak,3750000,2016,DEN
Will Barton,3333333,2016,DEN
Emmanuel Mudiay,3102240,2016,DEN
D.J. Augustin,3000000,2016,DEN
Darrell Arthur,2814000,2016,DEN
Jusuf Nurkic,1842000,2016,DEN
Joffrey Lauvergne,1709720,2016,DEN
Gary Harris,1587480,2016,DEN
Mike Miller,1499187,2016,DEN
Nikola Jokic,1300000,2016,DEN
Joey Dorsey,1015421,2016,DEN
Nick Johnson,845059,2016,DEN
Kostas Papanikolaou,350000,2016,DEN
JaKarr Sampson,285489,2016,DEN
Axel Toupane,123552,2016,DEN
Erick Green,100000,2016,DEN
Sean Kilpatrick,99418,2016,DEN
Danilo Gallinari,15050000,2017,DEN
Kenneth Faried,12078652,2017,DEN
Wilson Chandler,11200000,2017,DEN
Darrell Arthur,8070175,2017,DEN
Roy Hibbert,5000000,2017,DEN
Jameer Nelson,4540525,2017,DEN
Will Barton,3533333,2017,DEN
Mike Miller,3500000,2017,DEN
Emmanuel Mudiay,3241800,2017,DEN
Jamal Murray,3210840,2017,DEN
Mason Plumlee,2328530,2017,DEN
Mo Williams,2200000,2017,DEN
Juan Hernangomez,1987440,2017,DEN
Gary Harris,1655880,2017,DEN
Malik Beasley,1627320,2017,DEN
Nikola Jokic,1358500,2017,DEN
Nick Johnson,980431,2017,DEN
Alonzo Gee,495227,2017,DEN
Robbie Hummel,150000,2017,DEN
Jarnell Stokes,150000,2017,DEN
Johnny O\'Bryant,115344,2017,DEN
D.J. Kennedy,50000,2017,DEN
Nate Wolters,50000,2017,DEN
Paul Millsap,31269231,2018,DEN
Mason Plumlee,14041096,2018,DEN
Kenneth Faried,12921348,2018,DEN
Wilson Chandler,12016854,2018,DEN
Darrell Arthur,7464912,2018,DEN
Jameer Nelson,4736050,2018,DEN
Will Barton,3533333,2018,DEN
Emmanuel Mudiay,3381480,2018,DEN
Jamal Murray,3355320,2018,DEN
Gary Harris,2550055,2018,DEN
Trey Lyles,2441400,2018,DEN
Richard Jefferson,2328652,2018,DEN
Juan Hernangomez,2076840,2018,DEN
Malik Beasley,1700640,2018,DEN
Tyler Lydon,1579440,2018,DEN
Nikola Jokic,1471382,2018,DEN
Grant Hill,6939000,2000,DET
Christian Laettner,6062500,2000,DET
Bison Dele,5770000,2000,DET
Jerry Stackhouse,4781250,2000,DET
Loy Vaught,4180000,2000,DET
Jerome Williams,2550000,2000,DET
Lindsey Hunter,2350000,2000,DET
Michael Curry,2000000,2000,DET
Eric Montross,2000000,2000,DET
Derek Harper,1100000,2000,DET
Jud Buechler,1100000,2000,DET
Don Reid,1000000,2000,DET
Joe Dumars,510000,2000,DET
Terry Mills,510000,2000,DET
John Crotty,477000,2000,DET
Mikki Moore,460000,2000,DET
Jermaine Jackson,302875,2000,DET
Marcus Brown,43294,2000,DET
Pooh Richardson,5882,2000,DET
Jerry Stackhouse,5310000,2001,DET
Ben Wallace,4000000,2001,DET
Dana Barros,3700000,2001,DET
Jud Buechler,3260000,2001,DET
Chucky Atkins,3000000,2001,DET
Jerome Williams,2870000,2001,DET
Mikki Moore,2850000,2001,DET
Joe Smith,2250000,2001,DET
Eric Montross,2240000,2001,DET
Michael Curry,2200000,2001,DET
John Wallace,2200000,2001,DET
Eric Murdock,2100000,2001,DET
Billy Owens,2100000,2001,DET
Mateen Cleaves,1253400,2001,DET
Ansu Sesay,508000,2001,DET
Torraye Braggs,316969,2001,DET
Brian Cardinal,316969,2001,DET
Clifford Robinson,7656250,2002,DET
Jerry Stackhouse,5843750,2002,DET
Ben Wallace,4700000,2002,DET
Corliss Williamson,4000000,2002,DET
Zeljko Rebraca,3500000,2002,DET
Chucky Atkins,3300000,2002,DET
Jon Barry,3175000,2002,DET
Mikki Moore,2531250,2002,DET
Michael Curry,2400000,2002,DET
Rodney White,1693560,2002,DET
Dana Barros,1600000,2002,DET
Victor Alexander,653350,2002,DET
Damon Jones,565850,2002,DET
Brian Cardinal,465850,2002,DET
Ratko Varda,332817,2002,DET
Clifford Robinson,8421875,2003,DET
Ben Wallace,5200000,2003,DET
Chauncey Billups,4546000,2003,DET
Corliss Williamson,4500000,2003,DET
Zeljko Rebraca,3850000,2003,DET
Chucky Atkins,3600000,2003,DET
Jon Barry,3175000,2003,DET
Hubert Davis,2687500,2003,DET
Richard Hamilton,2681783,2003,DET
Michael Curry,2600000,2003,DET
Mikki Moore,2412500,2003,DET
Don Reid,1100000,2003,DET
Mehmet Okur,1000000,2003,DET
Tayshaun Prince,903360,2003,DET
Pepe Sanchez,587435,2003,DET
Bobby Simmons,512435,2003,DET
Richard Hamilton,6500000,2004,DET
Bob Sura,6266666,2004,DET
Ben Wallace,5500000,2004,DET
Chauncey Billups,5000600,2004,DET
Corliss Williamson,5000000,2004,DET
Zeljko Rebraca,4200000,2004,DET
Elden Campbell,4000000,2004,DET
Chucky Atkins,3900000,2004,DET
Darko Milicic,3595800,2004,DET
Lindsey Hunter,3000000,2004,DET
Hubert Davis,2956250,2004,DET
Mehmet Okur,1100000,2004,DET
Tayshaun Prince,971160,2004,DET
Darvin Ham,813679,2004,DET
Tremaine Fowlkes,638679,2004,DET
Rasheed Wallace,9720000,2005,DET
Richard Hamilton,7812500,2005,DET
Ben Wallace,7000000,2005,DET
Chauncey Billups,5455200,2005,DET
Antonio McDyess,4903000,2005,DET
Derrick Coleman,4500000,2005,DET
Elden Campbell,4400000,2005,DET
Darko Milicic,3865440,2005,DET
Lindsey Hunter,1600000,2005,DET
Tayshaun Prince,1038960,2005,DET
Darvin Ham,932546,2005,DET
Amal McCaskill,932546,2005,DET
Carlos Delfino,901920,2005,DET
Smush Parker,695046,2005,DET
Ronald Dupree,620046,2005,DET
Horace Jenkins,385277,2005,DET
Rasheed Wallace,10860000,2006,DET
Richard Hamilton,8625000,2006,DET
Ben Wallace,7500000,2006,DET
Chauncey Billups,5909800,2006,DET
Antonio McDyess,5393300,2006,DET
Darko Milicic,4135200,2006,DET
Carlos Arroyo,4000000,2006,DET
Dale Davis,3500000,2006,DET
Derrick Coleman,2000000,2006,DET
Tayshaun Prince,1763115,2006,DET
Lindsey Hunter,1760000,2006,DET
Maurice Evans,1500000,2006,DET
Carlos Delfino,969696,2006,DET
Jason Maxiell,905640,2006,DET
Alex Acker,398762,2006,DET
Amir Johnson,398762,2006,DET
Rasheed Wallace,11650000,2007,DET
Richard Hamilton,9187500,2007,DET
Tayshaun Prince,7851240,2007,DET
Chauncey Billups,6364400,2007,DET
Antonio McDyess,5883600,2007,DET
Nazr Mohammed,5215000,2007,DET
Dale Davis,3500000,2007,DET
Lindsey Hunter,2250000,2007,DET
Ronald Murray,1750000,2007,DET
Carlos Delfino,1037280,2007,DET
Jason Maxiell,973440,2007,DET
Alex Acker,839209,2007,DET
Ronald Dupree,771331,2007,DET
Amir Johnson,664209,2007,DET
Chris Webber,661024,2007,DET
Will Blalock,412718,2007,DET
Rasheed Wallace,12540000,2008,DET
Chauncey Billups,10000000,2008,DET
Richard Hamilton,10000000,2008,DET
Tayshaun Prince,8675620,2008,DET
Antonio McDyess,6373900,2008,DET
Amir Johnson,3666666,2008,DET
Juan Dixon,2550000,2008,DET
Lindsey Hunter,2250000,2008,DET
Walter Herrmann,1944000,2008,DET
Ronald Murray,1890000,2008,DET
Rodney Stuckey,1569600,2008,DET
Jarvis Hayes,1200000,2008,DET
Jason Maxiell,1041360,2008,DET
Arron Afflalo,944520,2008,DET
Ronald Dupree,826046,2008,DET
Cheikh Samb,427163,2008,DET
Allen Iverson,20840625,2009,DET
Rasheed Wallace,13930000,2009,DET
Richard Hamilton,10812500,2009,DET
Tayshaun Prince,9500000,2009,DET
Kwame Brown,4000000,2009,DET
Amir Johnson,3666667,2009,DET
Walter Herrmann,2000000,2009,DET
Jason Maxiell,1877572,2009,DET
Rodney Stuckey,1687320,2009,DET
Arron Afflalo,1015440,2009,DET
Antonio McDyess,950419,2009,DET
Will Bynum,711517,2009,DET
Walter Sharpe,442114,2009,DET
Richard Hamilton,11625000,2010,DET
Tayshaun Prince,10324380,2010,DET
Ben Gordon,10000000,2010,DET
Charlie Villanueva,6500000,2010,DET
Jason Maxiell,5000000,2010,DET
Kwame Brown,4100000,2010,DET
Chris Wilcox,3000000,2010,DET
Rodney Stuckey,1805040,2010,DET
Fabricio Oberto,1800000,2010,DET
Austin Daye,1677840,2010,DET
Chucky Atkins,1306455,2010,DET
Ben Wallace,1306445,2010,DET
Will Bynum,825497,2010,DET
Jonas Jerebko,457588,2010,DET
DaJuan Summers,457588,2010,DET
Richard Hamilton,12500000,2012,DET
Ben Gordon,11600000,2012,DET
Rodney Stuckey,8500000,2012,DET
Charlie Villanueva,7540000,2012,DET
Tayshaun Prince,6292135,2012,DET
Jason Maxiell,5000000,2012,DET
Jonas Jerebko,4500000,2012,DET
Will Bynum,3250000,2012,DET
Greg Monroe,3007920,2012,DET
Brandon Knight,2563320,2012,DET
Ben Wallace,2246400,2012,DET
Austin Daye,1929600,2012,DET
Damien Wilkins,1146337,2012,DET
Vernon Macklin,473604,2012,DET
Walker Russell,374289,2012,DET
Josh Smith,13500000,2014,DET
Charlie Villanueva,8580000,2014,DET
Rodney Stuckey,8500000,2014,DET
Brandon Jennings,7655503,2014,DET
Jonas Jerebko,4500000,2014,DET
Greg Monroe,4086454,2014,DET
Will Bynum,2790343,2014,DET
Kentavious Caldwell-Pope,2653080,2014,DET
Chauncey Billups,2500000,2014,DET
Andre Drummond,2462400,2014,DET
Kyle Singler,1045000,2014,DET
Josh Harrellson,884293,2014,DET
Josh Smith,14000000,2015,DET
Brandon Jennings,8000000,2015,DET
Ersan Ilyasova,7900000,2015,DET
Tayshaun Prince,7707865,2015,DET
Jodie Meeks,6000000,2015,DET
Greg Monroe,5479934,2015,DET
Joel Anthony,3800000,2015,DET
Anthony Tolliver,3000000,2015,DET
Kentavious Caldwell-Pope,2772480,2015,DET
Andre Drummond,2568360,2015,DET
Reggie Jackson,2204370,2015,DET
Aaron Gray,1227985,2015,DET
Cartier Martin,1145685,2015,DET
Spencer Dinwiddie,700000,2015,DET
John Lucas,123827,2015,DET
Quincy Miller,107676,2015,DET
Tobias Harris,16000000,2016,DET
Reggie Jackson,14000000,2016,DET
Aron Baynes,6500000,2016,DET
Jodie Meeks,6270000,2016,DET
Josh Smith,5400000,2016,DET
Marcus Morris,5000000,2016,DET
Andre Drummond,3272091,2016,DET
Anthony Tolliver,3000000,2016,DET
Kentavious Caldwell-Pope,2891760,2016,DET
Stanley Johnson,2841960,2016,DET
Joel Anthony,2500000,2016,DET
Danny Granger,2170465,2016,DET
Steve Blake,2170465,2016,DET
Cartier Martin,1270964,2016,DET
Reggie Bullock,1252440,2016,DET
Spencer Dinwiddie,845059,2016,DET
Darrun Hilliard,525093,2016,DET
Aaron Gray,452059,2016,DET
Lorenzo Brown,117016,2016,DET
Justin Harper,99418,2016,DET
Adonis Thomas,60000,2016,DET
Andre Drummond,22116750,2017,DET
Tobias Harris,17200000,2017,DET
Reggie Jackson,14956522,2017,DET
Jon Leuer,10991957,2017,DET
Boban Marjanovic,7000000,2017,DET
Aron Baynes,6500000,2017,DET
Ish Smith,6000000,2017,DET
Josh Smith,5400000,2017,DET
Marcus Morris,4625000,2017,DET
Kentavious Caldwell-Pope,3678319,2017,DET
Stanley Johnson,2969880,2017,DET
Reggie Bullock,2255644,2017,DET
Henry Ellenson,1704120,2017,DET
Beno Udrih,1551659,2017,DET
Darrun Hilliard,874636,2017,DET
Michael Gbinije,650000,2017,DET
Aaron Gray,452059,2017,DET
Nikola Jovanovic,30000,2017,DET
Ray McCallum,11949,2017,DET
Andre Drummond,23775506,2018,DET
Tobias Harris,16000000,2018,DET
Reggie Jackson,16000000,2018,DET
Jon Leuer,10497319,2018,DET
Avery Bradley,8808989,2018,DET
Boban Marjanovic,7000000,2018,DET
Langston Galloway,6666667,2018,DET
Ish Smith,6000000,2018,DET
Josh Smith,5400000,2018,DET
Anthony Tolliver,3290000,2018,DET
Stanley Johnson,3097800,2018,DET
Luke Kennard,2759280,2018,DET
Reggie Bullock,2500000,2018,DET
Henry Ellenson,1780800,2018,DET
Eric Moreland,1739333,2018,DET
Michael Gbinije,500000,2018,DET
Aaron Gray,452059,2018,DET
Beno Udrih,25000,2018,DET
Donyell Marshall,5250000,2000,GSW
Erick Dampier,4988000,2000,GSW
Mookie Blaylock,4200000,2000,GSW
Chris Mills,4200000,2000,GSW
Jason Caffey,3937500,2000,GSW
Terry Cummings,2600000,2000,GSW
Antawn Jamison,2503800,2000,GSW
Billy Owens,2090000,2000,GSW
Adonal Foyle,1922520,2000,GSW
Larry Hughes,1722240,2000,GSW
Vonteego Cummings,704400,2000,GSW
Tim Legler,510000,2000,GSW
Tony Farmer,510000,2000,GSW
Sam Mack,315000,2000,GSW
Tim Young,301875,2000,GSW
Bill Curley,117867,2000,GSW
Damon Jones,70206,2000,GSW
Drew Barry,62765,2000,GSW
Chris Carr,60000,2000,GSW
Jamel Thomas,31963,2000,GSW
Sam Jacobson,22647,2000,GSW
John Morton,6735,2000,GSW
Mark Davis,6000,2000,GSW
Erick Dampier,5610000,2001,GSW
Mookie Blaylock,4800000,2001,GSW
Chris Mills,4800000,2001,GSW
Bob Sura,4390000,2001,GSW
Danny Fortson,3950000,2001,GSW
Adonal Foyle,3580000,2001,GSW
Adam Keefe,3390000,2001,GSW
Antawn Jamison,2678400,2001,GSW
Terry Cummings,2200000,2001,GSW
Vinny Del Negro,2100000,2001,GSW
Larry Hughes,1842480,2001,GSW
Chris Mullin,1000000,2001,GSW
Vonteego Cummings,757200,2001,GSW
Bill Curley,611000,2001,GSW
Marc Jackson,316969,2001,GSW
Chris Porter,316969,2001,GSW
Randy Livingston,20000,2001,GSW
Erick Dampier,6235000,2002,GSW
Mookie Blaylock,5400000,2002,GSW
Chris Mills,5400000,2002,GSW
Bob Sura,5213333,2002,GSW
Danny Fortson,4649534,2002,GSW
Adonal Foyle,4400000,2002,GSW
Antawn Jamison,3388176,2002,GSW
Marc Jackson,3250000,2002,GSW
Cedric Henderson,3000000,2002,GSW
Jason Richardson,2425440,2002,GSW
Larry Hughes,2343635,2002,GSW
Troy Murphy,1310400,2002,GSW
Gilbert Arenas,332817,2002,GSW
Dean Oliver,332817,2002,GSW
Antawn Jamison,10067750,2003,GSW
Erick Dampier,6858500,2003,GSW
Chris Mills,6000000,2003,GSW
Bob Sura,5639999,2003,GSW
Danny Fortson,5039068,2003,GSW
Adonal Foyle,4400000,2003,GSW
Mike Dunleavy,3100080,2003,GSW
Jason Richardson,2607360,2003,GSW
Troy Murphy,1408680,2003,GSW
Jiri Welsch,1234080,2003,GSW
Earl Boykins,528605,2003,GSW
Gilbert Arenas,512435,2003,GSW
Oscar Torres,168729,2003,GSW
Dean Oliver,118735,2003,GSW
Guy Rucker,34946,2003,GSW
A.J. Guyton,18748,2003,GSW
Nick Van Exel,11956625,2004,GSW
Erick Dampier,7842000,2004,GSW
Avery Johnson,5445600,2004,GSW
Clifford Robinson,4700000,2004,GSW
Adonal Foyle,4400000,2004,GSW
Mike Dunleavy,3332520,2004,GSW
Evan Eschmeyer,3017266,2004,GSW
Speedy Claxton,3000000,2004,GSW
Jason Richardson,2789280,2004,GSW
Mickael Pietrus,1527946,2004,GSW
Troy Murphy,1506960,2004,GSW
Calbert Cheaney,1070000,2004,GSW
Popeye Jones,1070000,2004,GSW
Brian Cardinal,663679,2004,GSW
Pepe Sanchez,663679,2004,GSW
Cherokee Parks,228946,2004,GSW
Sean Lampley,89364,2004,GSW
Dan Langhi,72843,2004,GSW
Dale Davis,10068750,2005,GSW
Adonal Foyle,6500000,2005,GSW
Christian Laettner,5500000,2005,GSW
Clifford Robinson,5287500,2005,GSW
Derek Fisher,4903000,2005,GSW
Eduardo Najera,3809524,2005,GSW
Mike Dunleavy,3565080,2005,GSW
Jason Richardson,3534018,2005,GSW
Speedy Claxton,3300000,2005,GSW
Troy Murphy,2231808,2005,GSW
Mickael Pietrus,1785960,2005,GSW
Andris Biedrins,1727760,2005,GSW
Calbert Cheaney,1600000,2005,GSW
Ansu Sesay,745046,2005,GSW
Luis Flores,385277,2005,GSW
Baron Davis,13700000,2006,GSW
Jason Richardson,8888888,2006,GSW
Troy Murphy,7365079,2006,GSW
Adonal Foyle,7312500,2006,GSW
Derek Fisher,5393300,2006,GSW
Mike Dunleavy,4506261,2006,GSW
Ike Diogu,1988160,2006,GSW
Mickael Pietrus,1910520,2006,GSW
Andris Biedrins,1857360,2006,GSW
Calbert Cheaney,1760000,2006,GSW
Zarko Cabarkapa,1404360,2006,GSW
Monta Ellis,448762,2006,GSW
Chris Taft,423762,2006,GSW
Aaron Miles,155614,2006,GSW
Baron Davis,15070000,2007,GSW
Jason Richardson,9999999,2007,GSW
Adonal Foyle,8125000,2007,GSW
Al Harrington,7625000,2007,GSW
Stephen Jackson,6120000,2007,GSW
Sarunas Jasikevicius,4000000,2007,GSW
Mickael Pietrus,2535260,2007,GSW
Zarko Cabarkapa,2157097,2007,GSW
Patrick O\'Bryant,2061720,2007,GSW
Andris Biedrins,1986960,2007,GSW
Dajuan Wagner,771331,2007,GSW
Matt Barnes,771331,2007,GSW
Josh Powell,744551,2007,GSW
Andre Owens,676800,2007,GSW
Monta Ellis,664209,2007,GSW
Chris Taft,664209,2007,GSW
Devin Brown,500000,2007,GSW
Anthony Roberson,267111,2007,GSW
Kelenna Azubuike,251657,2007,GSW
Renaldo Major,20133,2007,GSW
Baron Davis,16440000,2008,GSW
Adonal Foyle,8937500,2008,GSW
Al Harrington,8425625,2008,GSW
Stephen Jackson,6630000,2008,GSW
Mickael Pietrus,3470770,2008,GSW
Matt Barnes,3000000,2008,GSW
Andris Biedrins,2636696,2008,GSW
Brandan Wright,2323080,2008,GSW
Patrick O\'Bryant,2216400,2008,GSW
Kosta Perovic,1800000,2008,GSW
Marco Belinelli,1345800,2008,GSW
Austin Croshere,1219590,2008,GSW
Troy Hudson,1219590,2008,GSW
Monta Ellis,770610,2008,GSW
Kelenna Azubuike,687456,2008,GSW
Chris Webber,602173,2008,GSW
Didier Ilunga-Mbenga,249478,2008,GSW
C.J. Watson,125479,2008,GSW
Stephane Lasme,48056,2008,GSW
Monta Ellis,11000000,2010,GSW
Andris Biedrins,9000000,2010,GSW
Corey Maggette,8937931,2010,GSW
Vladimir Radmanovic,6466600,2010,GSW
Raja Bell,5250000,2010,GSW
Speedy Claxton,5209454,2010,GSW
Ronny Turiaf,4140000,2010,GSW
Kelenna Azubuike,3132000,2010,GSW
Stephen Curry,2710560,2010,GSW
Brandan Wright,2671440,2010,GSW
Anthony Randolph,1837560,2010,GSW
Devean George,1600000,2010,GSW
C.J. Watson,1000497,2010,GSW
Anthony Morrow,736420,2010,GSW
Chris Hunter,632455,2010,GSW
Mikki Moore,537952,2010,GSW
Anthony Tolliver,359546,2010,GSW
Cartier Martin,86638,2010,GSW
Coby Karl,43319,2010,GSW
Troy Murphy,11968253,2011,GSW
Monta Ellis,11000000,2011,GSW
David Lee,10800000,2011,GSW
Andris Biedrins,9000000,2011,GSW
Vladimir Radmanovic,6883800,2011,GSW
Charlie Bell,4447792,2011,GSW
Dorell Wright,3500000,2011,GSW
Ekpe Udoh,3065040,2011,GSW
Stephen Curry,2913840,2011,GSW
Louis Amundson,2225000,2011,GSW
Reggie Williams,762195,2011,GSW
Acie Law,656030,2011,GSW
Jeremy Lin,473604,2011,GSW
Rodney Carney,377116,2011,GSW
Jeff Adrien,342666,2011,GSW
David Lee,11610000,2012,GSW
Monta Ellis,11000000,2012,GSW
Andris Biedrins,9000000,2012,GSW
Kwame Brown,6750000,2012,GSW
Charlie Bell,4099920,2012,GSW
Dorell Wright,3823000,2012,GSW
Ekpe Udoh,3294960,2012,GSW
Stephen Curry,3117120,2012,GSW
Brandon Rush,2956658,2012,GSW
Klay Thompson,2126520,2012,GSW
Nate Robinson,983307,2012,GSW
Dominic McGuire,915852,2012,GSW
Jeremy Tyler,650000,2012,GSW
Charles Jenkins,473604,2012,GSW
Chris Wright,473604,2012,GSW
Earl Barron,185588,2012,GSW
Ishmael Smith,116768,2012,GSW
Andrew Bogut,13000000,2013,GSW
David Lee,12744000,2013,GSW
Richard Jefferson,10164000,2013,GSW
Andris Biedrins,9000000,2013,GSW
Jarrett Jack,5400000,2013,GSW
Brandon Rush,4000000,2013,GSW
Carl Landry,4000000,2013,GSW
Stephen Curry,3958742,2013,GSW
Harrison Barnes,2798040,2013,GSW
Klay Thompson,2286000,2013,GSW
Festus Ezeli,1020960,2013,GSW
Draymond Green,850000,2013,GSW
Kent Bazemore,473604,2013,GSW
Andrew Bogut,14000000,2014,GSW
David Lee,13878000,2014,GSW
Andre Iguodala,12868632,2014,GSW
Stephen Curry,9887642,2014,GSW
Marreese Speights,3500000,2014,GSW
Harrison Barnes,2923920,2014,GSW
Klay Thompson,2317920,2014,GSW
Jermaine O\'Neal,2000000,2014,GSW
Toney Douglas,1600000,2014,GSW
Festus Ezeli,1066920,2014,GSW
Nemanja Nedovic,1056720,2014,GSW
Draymond Green,875500,2014,GSW
Kent Bazemore,788872,2014,GSW
David Lee,15012000,2015,GSW
Andrew Bogut,12972973,2015,GSW
Andre Iguodala,12289544,2015,GSW
Stephen Curry,10629213,2015,GSW
Shaun Livingston,5305000,2015,GSW
Marreese Speights,3657500,2015,GSW
Klay Thompson,3075880,2015,GSW
Harrison Barnes,3049920,2015,GSW
Leandro Barbosa,1448490,2015,GSW
Brandon Rush,1145685,2015,GSW
Festus Ezeli,1112880,2015,GSW
Nemanja Nedovic,1104240,2015,GSW
Draymond Green,915243,2015,GSW
Justin Holiday,816482,2015,GSW
Ognjen Kuzmic,816482,2015,GSW
James Michael McAdoo,167122,2015,GSW
Aaron Craft,35000,2015,GSW
Mitchell Watt,35000,2015,GSW
Sean Kilpatrick,35000,2015,GSW
Klay Thompson,15500000,2016,GSW
Draymond Green,14300000,2016,GSW
Andrew Bogut,12000000,2016,GSW
Andre Iguodala,11710456,2016,GSW
Stephen Curry,11370786,2016,GSW
Jason Thompson,6431250,2016,GSW
Shaun Livingston,5543725,2016,GSW
Harrison Barnes,3873398,2016,GSW
Marreese Speights,3815000,2016,GSW
Leandro Barbosa,2500000,2016,GSW
Festus Ezeli,2008748,2016,GSW
Brandon Rush,1270964,2016,GSW
Kevon Looney,1131960,2016,GSW
Ian Clark,947276,2016,GSW
James Michael McAdoo,845059,2016,GSW
Anderson Varejao,458575,2016,GSW
Kevin Durant,26540100,2017,GSW
Klay Thompson,16663575,2017,GSW
Draymond Green,15330435,2017,GSW
Stephen Curry,12112359,2017,GSW
Andre Iguodala,11131368,2017,GSW
Shaun Livingston,5782450,2017,GSW
Zaza Pachulia,2898000,2017,GSW
David West,1551659,2017,GSW
Anderson Varejao,1551659,2017,GSW
JaVale McGee,1403611,2017,GSW
Kevon Looney,1182840,2017,GSW
Damian Jones,1171560,2017,GSW
Ian Clark,1015696,2017,GSW
James Michael McAdoo,980431,2017,GSW
Jason Thompson,945126,2017,GSW
Patrick McCaw,543471,2017,GSW
Matt Barnes,383351,2017,GSW
Elliot Williams,250000,2017,GSW
Briante Weber,102898,2017,GSW
Cameron Jones,50000,2017,GSW
Elgin Cook,50000,2017,GSW
Scott Wood,50000,2017,GSW
Phil Pressey,35000,2017,GSW
Stephen Curry,34682550,2018,GSW
Kevin Durant,25000000,2018,GSW
Klay Thompson,17826150,2018,GSW
